,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
1206,Emperor,Isaac Hooke,113261.0,53.27,6.99,3.58,1.29,2.29,"['Harem', 'Fantasy']",2019.0

1226,Lover Unveiled,J. R. Ward,143783.0,51.8,8.43,2.78,0.81,1.96,"['Romance', 'Paranormal', 'Paranormal Romance', 'Vampires', 'Fantasy', 'Urban Fantasy', 'Adult']",2021.0

1228,The Coming of Storm,Rob Kidd,15707.0,69.97,6.26,3.66,1.52,2.14,"['Pirates', 'Fantasy', 'Adventure', 'Childrens', 'Young Adult', 'Fiction', 'Middle Grade']",2006.0

1229,Nightwalker,Jayne Ann Krentz,53987.0,43.43,8.83,4.05,2.17,1.88,"['Romance', 'Contemporary', 'Contemporary Romance', 'Paranormal', 'Suspense', 'Mystery Thriller', 'Mystery']",1984.0

1233,Vision,Jesse Laeuchli,17540.0,44.28,6.19,3.1,1.49,1.61,[],

1234,The Nine,D. J. Molles,127957.0,49.78,7.45,2.85,0.84,2.01,"['Science Fiction', 'Fiction', 'Dystopia', 'Audiobook', 'Action', 'Survival', 'Apocalyptic']",2017.0

1236,The Crimes of Grindelwald,J. K. Rowling,19630.0,61.91,5.92,2.36,0.92,1.44,"['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Middle Grade']",2018.0

1246,Thief,Stephanie Spicer,86688.0,36.41,9.06,2.77,0.89,1.89,[],2019.0

1261,Blackout,Simon Scarrow,115422.0,39.99,8.39,2.55,0.78,1.76,"['Historical Fiction', 'Thriller', 'Mystery', 'Fiction', 'Crime', 'War', 'World War II']",2020.0

1266,And Then There Were 9,C. A. Larmer,74120.0,43.18,9.22,4.12,1.36,2.76,"['Mystery', 'Fiction', 'Crime', 'Cozy Mystery', 'Detective']",2020.0

1314,Unmasked,Andrew Lloyd Webber,160416.0,43.36,7.7,3.56,1.58,1.98,"['Nonfiction', 'Biography', 'Music', 'Memoir', 'Theatre', 'Biography Memoir', 'Autobiography']",2018.0

1329,Star Wars: Queen's Shadow,E. K. Johnston,76298.0,28.82,9.65,3.3,1.07,2.23,"['Star Wars', 'Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Audiobook', 'Space Opera']",2019.0

1335,Traveler,S. E. Anderson,87003.0,40.1,8.84,3.06,1.07,1.98,[],2018.0

1363,Goosebumps: Monster Blood III,R. L. Stine,21352.0,72.53,6.37,2.98,1.22,1.76,"['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Middle Grade', 'Paranormal']",1995.0

1382,Don't Breathe,Heleyne Hammersley,72008.0,31.57,10.14,2.81,1.1,1.71,[],2021.0

1390,New Shoes,B. C. Palmer,148359.0,41.57,8.84,2.85,1.1,1.75,"['Fantasy', 'Urban Fantasy', 'LGBT', 'Paranormal', 'Magic']",2018.0

1399,Shadow Watch,Tom Clancy,95939.0,51.71,6.84,2.82,1.12,1.7,"['Fiction', 'Thriller', 'Military Fiction', 'Mystery', 'Adventure', 'Novels', 'War']",1999.0

1400,Duplicity,Charles A. Miller,84078.0,28.42,8.48,2.54,0.84,1.7,[],

1415,Gone Woman,A. J. Rivers,61343.0,53.22,8.25,2.74,0.82,1.92,"['Mystery', 'Fiction', 'Thriller']",2019.0

1428,Sins of the Fathers,J. A. Jance,99424.0,31.68,8.94,3.18,1.05,2.12,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Audiobook', 'Suspense']",2019.0

1429,The Silenced,Brett Battles,92583.0,32.79,9.15,2.94,0.61,2.33,[],

1431,The Unlikeable Demon Hunter: Need,Deborah Wilde,89331.0,62.47,6.91,2.2,0.75,1.45,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Demons', 'Romance', 'Magic', 'Paranormal Romance']",2017.0

1439,Into the Hourglass,Emily L. King,83434.0,73.77,6.5,2.25,0.63,1.62,[],

1445,The Easy Life,Marguerite Duras,38770.0,43.37,9.04,3.41,1.11,2.3,[],

1448,Dragon's Honor,Natalie Grey,65945.0,33.75,9.67,3.43,1.24,2.19,[],2018.0

1451,Goosebumps: Welcome to Camp Nightmare,R. L. Stine,25021.0,66.76,6.54,3.11,1.51,1.6,"['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']",1993.0

1470,The Outer Dark,Zachary Rawlins,203197.0,48.58,6.94,3.56,1.72,1.84,[],

1518,Clan,Sigmund Brouwer,44617.0,62.7,7.1,2.57,0.63,1.94,"['Historical Fiction', 'Middle Grade', 'Canada', 'Adventure', 'Survival', 'Animals', 'Historical']",2020.0

1538,Time Break,Jill Cooper,63457.0,48.07,9.46,2.42,0.56,1.85,[],2017.0

1545,Checkpoint,Jean-Christophe Rufin,82072.0,46.49,9.13,3.14,1.21,1.93,"['Fiction', 'France', 'Roman', 'French Literature', 'Thriller', 'Drama', 'Contemporary']",2015.0

1554,The Chosen,J. R. Ward,158753.0,45.61,8.44,2.95,0.89,2.06,"['Paranormal', 'Romance', 'Vampires', 'Paranormal Romance', 'Fantasy', 'Urban Fantasy', 'Adult']",2017.0

1562,The Sinner,J. R. Ward,147103.0,48.04,8.38,2.63,0.76,1.86,"['Paranormal', 'Romance', 'Vampires', 'Paranormal Romance', 'Fantasy', 'Urban Fantasy', 'Adult']",2020.0

1565,Trail of Poison,M. J. Richards,69702.0,41.57,8.77,2.8,0.73,2.07,[],

1568,Agent of Prophecy,M. A. Rothman,70322.0,52.57,8.17,3.27,1.25,2.02,"['Fantasy', 'Young Adult', 'Middle Grade']",2023.0

1575,Hunter's Bounty,Takeshi Mori,81320.0,40.91,7.12,3.03,0.8,2.23,[],2017.0

1586,A Killer's Alibi,"William L. Myers, Jr.",118299.0,39.91,7.52,2.45,0.63,1.83,"['Fiction', 'Mystery', 'Legal Thriller', 'Crime', 'Thriller', 'Family', 'Mystery Thriller']",2019.0

1592,Lethal Agent,Vince Flynn & Kyle Mills,99734.0,41.79,8.62,2.87,1.28,1.59,[],

1612,Endgame,A. K. Duboff,58391.0,31.92,9.18,2.74,0.78,1.95,[],

1617,Legion,Iain Rob Wright,87151.0,45.5,8.02,2.36,0.64,1.72,"['Horror', 'Apocalyptic', 'Fiction', 'Supernatural', 'Post Apocalyptic', 'Paranormal', 'Zombies']",2016.0

1622,Now You See Me,Kierney Scott,93105.0,42.38,9.81,2.63,0.88,1.74,"['Mystery', 'Thriller', 'Crime', 'Suspense', 'Fiction', 'Detective', 'Mystery Thriller']",2017.0

1635,Caleb,Dale Mayer,55029.0,29.95,9.48,4.27,1.35,2.92,"['Romance', 'Suspense', 'Romantic Suspense', 'Military Fiction', 'Military Romance']",2021.0

1639,Into the Woods,David Mark,109991.0,68.35,8.16,2.44,1.0,1.44,"['Thriller', 'Mystery', 'Crime']",2020.0

1647,Epitaph,Anita Waller,74827.0,33.56,10.39,3.01,1.12,1.89,"['Mystery', 'Crime', 'British Literature']",2020.0

1649,Afterglow,Tim Jordan,103346.0,62.0,4.91,2.35,0.93,1.42,['Science Fiction'],2022.0

1651,Harrow A Novel,Joy Williams,59280.0,47.17,10.06,3.29,1.25,2.04,"['Fiction', 'Fantasy', 'Science Fiction', 'Novels', 'Dystopia', 'Literary Fiction', 'Post Apocalyptic']",2021.0

1669,Guise,Jack A. Salva,98903.0,46.38,7.19,3.18,1.39,1.78,[],

1697,Broken Silence,Liz Mistry,109312.0,43.56,8.64,2.71,0.75,1.96,"['Thriller', 'Crime', 'Mystery', 'Suspense']",2020.0

1699,The Diary of a Serial Killer's Daughter,L. A. Detwiler,75192.0,37.01,10.24,3.1,0.75,2.35,"['Thriller', 'Horror', 'Fiction', 'Dark', 'Mystery Thriller']",2020.0

1701,The Buried,Kathryn Casey,77381.0,49.5,6.58,2.18,0.61,1.56,"['Mystery', 'Mystery Thriller', 'Thriller']",2018.0

1715,The Heart of Man,Erich Fromm,16116.0,14.36,7.07,2.72,0.97,1.74,[],

1750,Warning Signs,G. K. Parks,90091.0,38.43,9.67,2.38,0.7,1.67,[],2021.0

1751,Nightshade,Molly McAdams,94113.0,37.88,8.07,2.9,0.95,1.95,"['Dark', 'Romance', 'Suspense', 'Romantic Suspense', 'Abuse', 'New Adult', 'Audiobook']",

1757,Montana,Debbie Macomber,99347.0,37.71,9.6,2.96,1.11,1.85,"['Romance', 'Fiction', 'Contemporary Romance', 'Chick Lit', 'Contemporary', 'Westerns', 'Western Romance']",1997.0

1763,Shadowcaster,Cinda Willians Chima,120780.0,49.58,9.01,2.74,0.76,1.97,[],

1764,Of Dubious Intent,J. A. Sutherland,87126.0,52.35,7.49,3.27,0.91,2.36,[],2018.0

1791,The Silver Chair,C. S. Lewis,51751.0,51.62,8.82,3.69,0.95,2.74,[],

1793,Dragonblood,Mirren Hogan,51046.0,35.85,10.01,2.75,0.8,1.95,[],2018.0

1801,Sacrifice,Graham Masterton,127841.0,48.66,8.16,3.35,1.19,2.16,"['Horror', 'Thriller', 'Fiction', 'Pulp']",1985.0

1809,But Not Foreknown,B. J. Bourg,67413.0,37.68,8.53,2.81,0.93,1.88,['Mystery'],2020.0

1832,Rejects,Emmy Ellis,55647.0,46.54,9.26,2.74,0.5,2.23,[],2021.0

1847,The Long Reach,Michael Lesse,74277.0,29.6,10.74,3.33,1.18,2.15,[],

1850,A Rift Between Cities,Liz Delton,75687.0,49.02,6.97,3.31,1.31,2.0,[],

1851,Legacy of Stars,Terry Maggert,103214.0,37.28,8.29,3.75,1.57,2.18,"['Science Fiction', 'Military Fiction', 'Space', 'Mystery', 'Space Opera']",2022.0

1866,The Frame,David W. Robinson,87875.0,35.79,8.39,2.65,1.0,1.65,[],2020.0

1875,Virgo,Alathia Morgan,37202.0,29.43,10.71,2.78,0.82,1.96,[],

1878,Hard Time,Jody Taylor,127200.0,37.96,9.34,4.36,1.93,2.44,[],

1886,Takedown,Heather Atkinson,111420.0,36.79,10.01,2.8,0.89,1.91,[],2021.0

1897,The Hardy Boys: The Demolition Mission,Franklin W. Dixon,30031.0,48.8,6.96,2.62,1.15,1.48,[],

1899,Nightmare Journey,Dean Koontz,56332.0,59.56,6.58,3.2,1.47,1.73,"['Science Fiction', 'Fiction', 'Horror', 'Juvenile']",1975.0

1910,Where The Bodies Are Buried,A. S. French,64272.0,43.91,8.83,2.02,0.21,1.81,[],

1911,Night Magic,Jenna Black,85101.0,33.09,10.49,3.67,1.47,2.19,"['Horror', 'Urban Fantasy', 'Young Adult', 'Paranormal', 'Fantasy', 'Novels', 'Magic']",2017.0

1915,Fortunate Son,J. D. Rhoades,83009.0,44.21,7.71,2.69,0.9,1.78,[],2018.0

1920,Goosebumps: Piano Lessons Can be Murder,R. L. Stine,20358.0,67.46,6.83,3.02,1.34,1.68,"['Horror', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']",1993.0

1921,Smart Moves,Adrian Magson,80143.0,44.74,8.65,3.17,1.25,1.92,[],2013.0

1922,Magic Bullet,Andrew Neiderman,63241.0,32.02,8.91,3.63,1.33,2.29,"['Thriller', 'Fiction', 'Medical']",2008.0

