title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
The Shattered Skies,John Birmingham,134943.0,43.93,6.89,2.75,1.25,1.5,"['Science Fiction', 'Space Opera', 'Fiction', 'Military Science Fiction', 'Space', 'Military Fiction', 'Science Fiction Fantasy']",2022
The Guinevere Deception,Kiersten White,95807.0,49.14,8.93,2.99,0.84,2.15,"['Fantasy', 'Young Adult', 'Retellings', 'Young Adult Fantasy', 'Historical Fiction', 'Romance', 'Fiction']",2019
The Flood,Rachel Bennett,85695.0,52.35,8.4,2.74,0.8,1.94,"['Mystery', 'Thriller']",2019
The One,Heinrich Päs,,,,,,,"['Science', 'Physics', 'Philosophy', 'Nonfiction']",2023
Magic Misled,Keri Arthur,91270.0,43.44,9.28,4.13,1.71,2.42,"['Urban Fantasy', 'Fantasy', 'Magic', 'Romance', 'Paranormal', 'Witches', 'Shapeshifters']",2021
A Forest of Stars,Linsey Hall,63448.0,52.26,8.79,2.8,1.07,1.72,"['Fantasy', 'Fae', 'Romance', 'Fantasy Romance', 'Paranormal', 'Magic', 'Urban Fantasy']",2022
Rock Monster,Kristin Casey,98935.0,46.58,7.47,3.03,1.02,2.01,"['Music', 'Nonfiction', 'Memoir', 'Autobiography']",2018
The Secret of the Island,Jules Verne,65529.0,45.82,8.19,3.24,1.07,2.17,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Novels', 'France', 'Amazon']",1865
Eagle Strike,Anthony Horowitz,65260.0,49.46,10.05,2.93,1.0,1.93,"['Young Adult', 'Fiction', 'Adventure', 'Mystery', 'Espionage', 'Action', 'Thriller']",2003
A Dead-End Job,Justin Alcala,80875.0,67.47,6.61,2.2,0.74,1.46,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Humor', 'Fiction', 'Mystery', 'Action']",2021
The Cutting Season,Attica Locke,115393.0,52.46,6.98,2.59,0.94,1.65,"['Mystery', 'Fiction', 'Historical Fiction', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Crime']",2012
Notes From the Burning Age,Claire North,129150.0,68.15,6.69,2.62,0.74,1.87,"['Science Fiction', 'Fiction', 'Fantasy', 'Dystopia', 'Post Apocalyptic', 'Speculative Fiction', 'Science Fiction Fantasy']",2021
Code of the Assassin,Bill Brewer,69942.0,44.41,7.14,2.39,0.81,1.58,[],2020
Minions and Magic,Debra Dunbar,49742.0,63.94,8.62,2.88,1.11,1.77,"['Fantasy', 'Witches', 'Romance', 'Demons', 'Paranormal', 'Paranormal Romance', 'Magic']",2019
Aimpoint,Candace Irvin,43863.0,41.47,8.46,3.47,1.38,2.09,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller']",2020
The Resurrection Game,Michelle Belanger,98649.0,67.88,5.74,3.25,1.63,1.62,"['Paranormal', 'Fiction']",2017
Unholy,Sarah Posner,90168.0,23.46,4.83,2.04,1.1,0.94,"['Politics', 'Nonfiction', 'Religion', 'History', 'Christianity', 'Audiobook', 'American History']",2020
Anger is an Energy,John Lydon,187947.0,32.77,10.13,4.24,1.61,2.62,"['Music', 'Biography', 'Nonfiction', 'Memoir', 'Autobiography', 'Punk', 'Biography Memoir']",2014
Ice,Ice-T & Douglas Century,75181.0,36.17,9.15,2.55,0.76,1.79,[],nan
Touching Infinity,Erin Hayes,60120.0,41.59,8.55,3.1,1.07,2.02,"['Science Fiction', 'Space Opera', 'Space']",2018
Finding Grace,K. L. Slater,82588.0,41.42,8.66,3.55,1.42,2.14,[],nan
Last Adventure of Constance Verity,A. Lee Martinez,78882.0,36.66,10.49,2.53,0.79,1.74,"['Fantasy', 'Humor', 'Urban Fantasy', 'Fiction', 'Science Fiction', 'Adventure', 'Paranormal']",2016
The Last Tsar’s Dragons,Jane Yolen & Adam Stemple,36021.0,46.04,7.8,3.7,1.32,2.38,"['Fantasy', 'Historical Fiction', 'Fiction', 'Historical', 'Dragons', 'Novella', 'Russia']",2019
Last Request,Liz Mistry,106027.0,47.89,8.31,2.63,0.64,1.99,"['Crime', 'Mystery', 'Fiction', 'Thriller', 'Suspense']",2019
The Land Beyond the Sea,Sharon Kay Penman,287629.0,32.15,8.85,3.39,1.03,2.36,"['Historical Fiction', 'Fiction', 'Historical', 'Medieval', '12th Century', 'Religion', 'War']",2020
Shattered Roads,Alice Henderson,89086.0,68.02,5.99,2.7,0.76,1.94,"['Science Fiction', 'Dystopia', 'Audiobook', 'Apocalyptic', 'Post Apocalyptic']",2018
First Comes Scandal,Julia Quinn,78592.0,33.81,10.39,3.92,1.58,2.33,"['Romance', 'Historical Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Regency', 'Adult']",2020
The Tabit Genesis,Tony Gonzales,122183.0,43.86,7.78,2.51,0.91,1.6,"['Science Fiction', 'Space Opera', 'Aliens']",2015
Devastation Road,Joanna Baker,83546.0,47.64,9.66,3.04,1.04,2.0,['Mystery'],2004
Full Fathom Five,Max Gladstone,112099.0,64.24,6.3,1.81,0.34,1.47,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Science Fiction', 'Steampunk', 'LGBT', 'Queer']",2014
The Lantern Men,Elly Griffiths,84565.0,43.67,9.34,3.29,1.1,2.18,"['Mystery', 'Crime', 'Fiction', 'British Literature', 'Mystery Thriller', 'Thriller', 'Archaeology']",2020
The Sacrifice,Evangeline Anderson,90137.0,53.52,8.32,4.37,1.85,2.53,[],nan
The Sleeping Truth,Ian C. P. Irvine,71090.0,33.99,8.45,4.21,1.51,2.7,"['Thriller', 'Mystery', 'Amazon', 'Mystery Thriller']",2013
Siren Calls,Jade Frances,62127.0,40.7,8.68,3.41,1.39,2.02,"['Supernatural', 'Fantasy']",2020
The Sweeney Sisters,Lian Dolan,96981.0,39.86,8.67,2.61,0.85,1.77,"['Fiction', 'Contemporary', 'Chick Lit', 'Audiobook', 'Family', 'Adult', 'Romance']",2020
Assassins: Nemesis,Erica Cameron,102415.0,37.42,8.43,3.23,1.26,1.97,"['Young Adult', 'Thriller', 'LGBT', 'Intersex', 'Contemporary', 'Mystery Thriller', 'Suspense']",2017
The Quaker,Liam McIlvanney,100388.0,65.39,6.96,2.02,0.5,1.53,"['Mystery', 'Crime', 'Fiction', 'Historical Fiction', 'Thriller', 'Scotland', 'Historical']",2018
Mission Critical,Mark Greaney,170919.0,42.51,6.92,2.77,0.91,1.86,"['Thriller', 'Fiction', 'Action', 'Espionage', 'Audiobook', 'Mystery Thriller', 'Suspense']",2019
The Secret History,Donna Tartt,202166.0,50.2,7.98,3.41,1.4,2.0,"['Fiction', 'Mystery', 'Classics', 'Contemporary', 'Thriller', 'Literary Fiction', 'Mystery Thriller']",1992
The Cipher,Isabella Maldonado,93078.0,43.8,7.29,2.36,0.83,1.53,"['Thriller', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",2020
11th Hour,James Patterson & Maxine Paetro,67580.0,46.45,8.38,2.22,0.53,1.69,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Suspense']",2012
Scarlet Rain,Kristin Cast,64841.0,54.65,7.64,2.84,1.11,1.73,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'New Adult', 'Paranormal Romance', 'Supernatural']",2017
The Ullswater Undertaking,Rebecca Tope,78843.0,26.44,10.41,4.54,1.91,2.63,['Mystery'],2021
No Way Out,Fern Michaels,75471.0,34.62,9.99,3.07,0.84,2.23,"['Fiction', 'Mystery', 'Suspense', 'Romance', 'Crime', 'Audiobook', 'Mystery Thriller']",2021
Moment in Time,Suzanne Redfearn,73837.0,54.81,7.41,2.95,1.06,1.89,"['Fiction', 'Mystery', 'Contemporary', 'Audiobook', 'Chick Lit', 'Thriller', 'Suspense']",2022
The Girl I Used To Be,J. A. Baker,80380.0,51.91,7.76,3.11,1.14,1.96,[],nan
A Journey to the Centre of the Earth,Jules Verne,85751.0,49.76,6.91,3.86,1.46,2.4,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'France', 'Literature']",1864
The Scattering,Kimberly McCreight,78703.0,34.21,10.01,3.88,1.27,2.61,"['Mystery', 'Young Adult', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Fantasy']",2017
Jovienne,Linda Robertson,96345.0,62.96,6.67,1.91,0.5,1.4,"['Urban Fantasy', 'Fantasy', 'Angels', 'Demons', 'Paranormal']",2017
Stone Heart,Catherine Banks & Pauline Creeden,65805.0,55.33,7.71,3.04,0.88,2.16,[],nan
Touched by Hell,Emma Shade,71841.0,55.22,7.16,2.5,0.71,1.79,[],2019
Jacket Man,Linwood Barclay,2208.0,46.69,7.16,2.22,0.59,1.63,"['Short Stories', 'Canada', 'Audiobook']",2016
The Watermight Thief,Jordan Rivet,110403.0,62.16,7.31,2.6,1.0,1.6,"['Fantasy', 'Young Adult', 'Magic', 'Dragons', 'Young Adult Fantasy', 'Amazon', 'Fiction']",2019
Snow,John Banville,83632.0,56.54,8.81,2.97,1.0,1.96,"['Mystery', 'Fiction', 'Crime', 'Historical Fiction', 'Ireland', 'Mystery Thriller', 'Thriller']",2020
Pryor Convictions,Richard Pryor,66263.0,36.95,7.7,2.75,0.66,2.09,"['Biography', 'Nonfiction', 'Comedy', 'Memoir', 'Autobiography', 'Humor', 'History']",1995
The Scarlet Circus,Jane Yolen,45296.0,65.93,6.78,2.97,0.93,2.03,"['Fantasy', 'Short Stories', 'Romance', 'Anthologies', 'Adult', 'Fiction']",2023
Ill Fares the Land,Tony Judt,46849.0,16.64,6.51,3.35,1.58,1.77,"['Politics', 'History', 'Nonfiction', 'Economics', 'Philosophy', 'Sociology', 'Essays']",2010
Galactic Forge,Alex Guerra,87329.0,44.32,6.44,2.9,1.19,1.71,"['Science Fiction', 'Amazon', 'Space Opera']",2018
Fire Dance,Ilana C. Myer,132542.0,49.88,8.78,2.63,0.73,1.89,"['Fantasy', 'Fiction', 'Speculative Fiction', 'Science Fiction Fantasy', 'Adult', 'High Fantasy', 'Epic Fantasy']",2018
Don’t Let My Baby Do Rodeo,Boris Fishman,107736.0,51.08,7.56,2.85,1.08,1.77,"['Fiction', 'Contemporary', 'Adult Fiction', 'Adoption', 'Travel', 'Family', 'Literary Fiction']",2016
ABBA ABBA,Anthony Burgess,39070.0,51.72,7.15,3.05,0.87,2.19,"['Fiction', 'Poetry', 'Historical Fiction', 'Novels', 'Literature', 'British Literature', 'Literary Fiction']",1977
The Dead Ex,Jane Corry,96287.0,39.27,10.88,3.82,1.1,2.72,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Psychological Thriller']",2018
Phosphate Rocks,Fiona Erskine,51356.0,85.29,5.29,2.09,0.76,1.32,"['Fiction', 'Mystery', 'Crime']",2021
Sex at Dawn,Christopher Ryan & Cacilda Jethá,,,,,,,"['Nonfiction', 'Science', 'History', 'Sexuality', 'Psychology', 'Anthropology', 'Relationships']",2010
Extinction Reversed,J. S. Morin,97683.0,45.89,8.35,2.34,0.8,1.54,"['Science Fiction', 'Fiction', 'Robots', 'Post Apocalyptic', 'Amazon', 'Apocalyptic', 'Audiobook']",2017
The Missing Treasures of Amy Ashton,Eleanor Ray,88643.0,55.74,8.83,2.9,0.99,1.91,"['Fiction', 'Contemporary', 'Mystery', 'Adult Fiction', 'Romance', 'Chick Lit', 'Adult']",2021
