,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
868,Out on a Limb,Andrew Sullivan,188235.0,27.38,6.9,3.44,1.61,1.82,"['Essays', 'Nonfiction', 'Politics', 'Society', 'Audiobook', 'Cultural']",2021.0
869,Saboteur,R. V. Raman,93356.0,29.04,9.18,3.17,1.16,2.01,"['Fiction', 'Crime']",2017.0
870,Everything Is Fine,Vince Granata,78349.0,46.64,6.81,2.23,0.52,1.71,"['Memoir', 'Nonfiction', 'Mental Health', 'True Crime', 'Psychology', 'Biography Memoir', 'Mental Illness']",2021.0
871,Wired for War,P. W. Singer,179376.0,30.65,6.7,3.44,1.21,2.23,"['Nonfiction', 'Military Fiction', 'Technology', 'Science', 'War', 'History', 'Politics']",2009.0
872,Stop Overthinking,Nick Trenton,27481.0,21.9,8.32,4.26,1.9,2.36,"['Self Help', 'Nonfiction', 'Mental Health', 'Psychology', 'Personal Development', 'Health', 'Audiobook']",2021.0
873,Tenth Grade Bleeds,Heather Brewer,62726.0,45.23,8.12,3.2,1.33,1.87,"['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Fiction', 'Supernatural', 'Urban Fantasy']",2009.0
874,The Hardy Boys: The Sign of the Crooked Arr,Franklin W. Dixon,32945.0,52.23,6.39,3.17,1.42,1.75,"['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Classics', 'Crime']",1949.0
875,The Bear King,James Wilde,100887.0,61.15,7.23,2.17,0.37,1.8,"['Historical Fiction', 'Fantasy', 'Historical', 'Arthurian', 'Mythology', 'Fiction']",2020.0
876,Vicious Circle,Wilbur Smith,163870.0,49.64,6.7,2.93,1.08,1.85,"['Fiction', 'Thriller', 'Adventure', 'Action', 'Africa', 'Historical Fiction', 'Crime']",2013.0
877,The Kremlin’s Candidate,Jason Matthews,162852.0,66.54,6.28,2.42,1.16,1.26,"['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Suspense', 'Russia', 'Spy Thriller']",2018.0
878,Mephisto Waltz,Frank Tallis,78015.0,53.28,8.28,3.09,1.19,1.9,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Fiction', 'Historical', 'Murder Mystery', 'Crime']",2018.0
879,Cut You Dead,A. J. Waines,85178.0,50.4,8.73,2.98,1.06,1.92,"['Psychological Thriller', 'Thriller', 'Crime']",2020.0
880,Silver’s Gods,Rich X. Curtis,101410.0,45.93,8.43,2.82,0.94,1.89,['Fantasy'],2020.0
881,Paladine,Kenneth Eade,49587.0,42.45,7.38,2.31,0.74,1.57,"['Thriller', 'Fiction', 'Amazon', 'Military Fiction', 'Suspense']",2016.0
882,Some Kind of Animal,Maria Romasco-Moore,107453.0,61.33,8.51,2.88,0.94,1.94,"['Young Adult', 'Mystery', 'Thriller', 'Fiction', 'Horror', 'Contemporary', 'Mystery Thriller']",2020.0
883,Blindsight,Robin Cook,119960.0,38.7,8.9,2.79,1.14,1.65,"['Fiction', 'Thriller', 'Mystery', 'Medical', 'Mystery Thriller', 'Suspense', 'Crime']",1992.0
884,Red Fox Road,Frances Greenslade,64557.0,73.18,8.63,2.66,0.65,2.01,"['Middle Grade', 'Survival', 'Fiction', 'Realistic Fiction', 'Young Adult', 'Adventure', 'Mental Illness']",2020.0
885,The Zhivago Affair,Peter Finn,88402.0,26.58,6.13,2.29,1.02,1.27,"['History', 'Nonfiction', 'Russia', 'Books About Books', 'Biography', 'Politics', 'Espionage']",2014.0
886,Think Twice,Lisa Scottoline,87117.0,50.58,8.36,2.73,0.69,2.04,"['Mystery', 'Fiction', 'Thriller', 'Suspense', 'Audiobook', 'Legal Thriller', 'Mystery Thriller']",2010.0
887,The Memory Wood,Sam Lloyd,93408.0,68.46,7.83,2.93,0.9,2.03,"['Thriller', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Horror', 'Psychological Thriller']",2020.0
888,A Darkly Shining Star,M. S. Morris,84778.0,38.03,9.15,3.44,1.3,2.14,"['Mystery', 'Fiction', 'Crime', 'British Literature']",2020.0
889,Just the Two of Us,Georgie Capron,112744.0,50.49,7.42,3.6,1.66,1.94,"['Fiction', 'Chick Lit', 'Romance']",2017.0
890,The Vanishing Half,Brit Bennett,97921.0,50.34,7.98,3.14,0.76,2.38,"['Fiction', 'Historical Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Race', 'Historical']",2020.0
891,Across the Dark Water,Richard Kadrey,12859.0,56.85,7.19,2.29,0.6,1.7,"['Short Stories', 'Science Fiction', 'Horror', 'Dystopia', 'Post Apocalyptic', 'Apocalyptic', 'Romance']",2021.0
892,The Note Through the Wire,Doug Gold,90548.0,44.34,8.5,2.99,1.21,1.78,"['Nonfiction', 'History', 'World War II', 'Biography', 'War', 'Romance', 'Holocaust']",2019.0
893,The Lazarus Vendetta,Robert Ludlum,117291.0,59.22,5.2,3.62,1.98,1.65,"['Thriller', 'Fiction', 'Espionage', 'Mystery', 'Suspense', 'Action', 'Mystery Thriller']",2004.0
894,250 Things You Should Know About Writing,Chuck Wendig,26045.0,41.85,8.47,2.49,0.69,1.8,"['Writing', 'Nonfiction', 'Reference', 'Humor', 'Crafts', 'Research', 'How To']",2011.0
895,Meet Me at Beachcomber Bay,Jill Mansell,101251.0,41.84,10.29,4.01,1.39,2.62,"['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Audiobook', 'British Literature']",2017.0
896,Apocalypse of Elena Mendoza,Shaun David Hutchinson,88572.0,36.1,10.54,2.67,0.9,1.77,"['Young Adult', 'LGBT', 'Fantasy', 'Science Fiction', 'Queer', 'Contemporary', 'Fiction']",2018.0
897,Chasing the Thrill,Daniel Barbarisi,131272.0,35.15,7.73,3.56,1.49,2.07,"['Nonfiction', 'Audiobook', 'Adventure', 'History', 'Travel', 'Mystery', 'Adult']",2021.0
898,A Woman’s Story,Annie Ernaux,17679.0,49.26,6.56,2.41,0.84,1.57,"['Memoir', 'France', 'Nonfiction', 'Biography', 'French Literature', 'Feminism', 'Literature']",1988.0
899,Black Fall,Andrew Mayne,93675.0,41.35,8.86,2.77,1.03,1.74,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Audiobook', 'Suspense']",2017.0
900,Six Crimson Cranes,Elizabeth Lim,107182.0,68.64,7.85,2.89,1.02,1.87,"['Fantasy', 'Young Adult', 'Romance', 'Retellings', 'Young Adult Fantasy', 'Fiction', 'Mythology']",2021.0
901,Yellow Jessamine,Caitlin Starling,38499.0,55.63,8.08,2.62,0.75,1.87,"['Horror', 'Fantasy', 'LGBT', 'Novella', 'Gothic', 'Adult', 'Lesbian']",2020.0
902,New York Burning,Jill Lepore,93365.0,33.75,5.86,2.45,0.99,1.46,"['History', 'Nonfiction', 'American History', 'New York', '18th Century', 'Historical', 'African American']",2005.0
903,The Way You Bite,Zoe Forward,71927.0,46.59,8.08,2.35,0.69,1.65,"['Paranormal', 'Vampires', 'Romance', 'Paranormal Romance', 'Urban Fantasy', 'Fantasy', 'Shapeshifters']",2017.0
904,Through His Eyes,Emma Dibdin,75819.0,34.51,8.77,3.92,1.53,2.39,"['Fiction', 'Thriller']",2018.0
905,The Absence of Soul,Amanda Twigg,73911.0,58.97,6.89,2.03,0.44,1.59,['Fantasy'],2020.0
906,The Stalking Horse,Jill McGown,62379.0,32.43,10.59,2.96,0.9,2.06,"['Crime', 'Mystery']",2000.0
907,"Willful Child, Wrath of Betty",Steven Erikson,70505.0,49.52,6.47,3.55,0.96,2.59,"['Science Fiction', 'Humor', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook']",2016.0
908,The Black Flag,Jay Allan,103875.0,32.89,9.53,3.14,1.0,2.14,"['Science Fiction', 'Space Opera']",2017.0
909,A Neon Darkness,Lauren Shippen,81639.0,47.21,8.85,3.54,1.53,2.02,"['Fantasy', 'Young Adult', 'LGBT', 'Contemporary', 'Science Fiction', 'Queer', 'Fiction']",2020.0
910,The Breast,Philip Roth,15848.0,33.44,9.48,3.94,1.24,2.7,"['Fiction', 'American', 'Fantasy', 'Novels', 'The United States Of America', 'Humor', 'Literature']",1972.0
911,Angry White Pyjamas,Robert Twigger,103229.0,43.9,7.88,3.09,1.24,1.85,"['Nonfiction', 'Martial Arts', 'Japan', 'Biography', 'Travel', 'Memoir', 'Sports']",1999.0
912,Come Back For Me,Heidi Perks,91815.0,39.94,9.83,3.29,1.16,2.13,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense']",2019.0
913,Angle of Attack,Leo J. Maloney,83797.0,32.99,9.21,3.02,1.12,1.9,"['Thriller', 'Espionage']",2021.0
914,The Mountains Sing,Que Mai Phan Nguyen,97945.0,66.66,6.91,2.05,0.32,1.73,"['Historical Fiction', 'Fiction', 'Historical', 'Asia', 'War', 'Audiobook', 'Literary Fiction']",2020.0
915,Hung in the Balance,Roger Ormerod,71333.0,36.7,10.21,3.88,1.32,2.56,"['Thriller', 'Mystery']",1990.0
916,I Will Have Vengeance,Maurizio de Giovanni,60070.0,44.92,8.03,3.22,1.04,2.18,"['Mystery', 'Italy', 'Fiction', 'Crime', 'Historical Fiction', 'Italian Literature', 'Thriller']",2006.0
917,The Queen of Dirt Island,Donal Ryan,60533.0,49.24,7.32,2.69,0.8,1.89,"['Fiction', 'Historical Fiction', 'Ireland', 'Irish Literature', 'Family', 'Literary Fiction', 'Adult Fiction']",2023.0
